n_components,NMF_z,NMF_mm,NMF_um,SVD1_z,SVD1_mm,SVD1_um,SVD2_z,SVD2_mm,SVD2_um,SGD,WMF
1,3.129440122,0.969687352,0.939153856,3.129440049,0.969687352,0.939153856,1.198065259,0.897884212,0.881982474,0.87339993,0.90497799
3,2.999312635,0.969637642,0.939147996,2.99750379,0.958143398,0.917168824,1.115739528,0.917291446,0.883546817,0.872156681,0.903187167
5,2.984591519,0.969610063,0.93916356,2.946794125,0.955111627,0.917945185,1.162855583,0.935686349,0.906700869,0.886776297,0.90455747
7,2.972418536,0.964976788,0.917655137,2.930909013,0.955919974,0.918306162,1.190650467,0.962295385,0.927314161,0.898976832,0.911461119
9,2.966129103,0.960705281,0.917489619,2.930521025,0.954679286,0.917061751,1.261160162,0.975285175,0.947542922,0.898216055,0.912841674
11,2.99874174,0.958312741,0.917839376,2.942168249,0.953232687,0.918146763,1.32214941,0.99090843,0.971782325,0.909954607,0.912421809
13,3.00940845,0.957466947,0.918512121,2.958604969,0.95292702,0.918026392,1.387894081,1.004341464,0.99455687,0.916266202,0.915482568
15,3.019743581,0.954571767,0.918448399,2.97026702,0.951903794,0.917598371,1.444334383,1.023118456,1.007428812,0.918575187,0.924051251
17,3.031621675,0.95420734,0.918746275,2.981934718,0.952469157,0.918520115,1.502409385,1.032545036,1.022494732,0.919750091,0.930150459
19,3.044459286,0.953446962,0.919849987,2.994546369,0.952920137,0.919959103,1.55969857,1.042999357,1.037590391,0.917814771,0.922108027
21,3.049356099,0.95337828,0.918106862,3.008870735,0.953118152,0.92021823,1.610998191,1.048987396,1.049820826,0.926652638,0.922523326
23,3.04818061,0.953055872,0.917058908,3.022245635,0.95336584,0.921086162,1.648431609,1.064613929,1.054219866,0.925377698,0.927671384
25,3.058982569,0.953457015,0.917733688,3.026944221,0.953545054,0.922353755,1.706871032,1.067973666,1.06620929,0.926548161,0.929271688
